problem_name,method,seed,iteration,acq_type,acq_value,acq_label,candidate_x,new_y_model_space,new_y_minimization,posterior_mean,posterior_std,train_size,parego_weights,parego_probe_max,evaluations,hypervolume,ideal_hypervolume,normalized_hypervolume,gd,igd,spacing,coverage,pareto_size,best_f1,best_f2,elapsed_sec,device,difficulty,family,description,n_var,n_obj
zdt2,ParEGO,0,40,ParEGO,-14.929628960322844,qLogNEI,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, -1.0]","[0.0, 1.0]","[-0.00011162578219553465, -1.0010880579779937]","[0.0010609469890734626, 0.006167747184358873]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-37.392153107864864],60,0.3741582238989007,0.5343452179206173,0.700218157383203,0.0015585092581206293,0.09520201739719525,0.13920294200331848,1.0,18,0.0,0.0,150.11861190000036,cpu,easy,ZDT,Невыпуклый фронт Парето. Полезна для проверки устойчивости scalarization-методов на non-convex PF.,6,2
zdt2,ParEGO,1,40,ParEGO,-15.150121234670543,qLogNEI,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, -1.0]","[0.0, 1.0]","[-9.880650628502075e-05, -1.0009972587154128]","[0.0011118704283570922, 0.006283810953368811]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-37.27476805279378],60,0.39084700452433596,0.5343452179206173,0.7314503647011219,0.0018146607814023825,0.06489599066692939,0.10369044292691418,1.0,20,0.0,0.0,159.6608867,cpu,easy,ZDT,Невыпуклый фронт Парето. Полезна для проверки устойчивости scalarization-методов на non-convex PF.,6,2
zdt2,ParEGO,2,40,ParEGO,-14.904440279291737,qLogNEI,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, -1.0]","[0.0, 1.0]","[-0.00010367619143081264, -1.0014286861879318]","[0.0010279198727166825, 0.005896508765890099]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-37.62936426495763],60,0.36750428096616944,0.5343452179206173,0.6877656403407097,0.0023211205656781786,0.10449472895977524,0.14480509448566722,1.0,19,0.0,0.0,171.0556316999996,cpu,easy,ZDT,Невыпуклый фронт Парето. Полезна для проверки устойчивости scalarization-методов на non-convex PF.,6,2
zdt2,ParEGO,3,40,ParEGO,-15.04493061795025,qLogNEI,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, -1.0]","[0.0, 1.0]","[-7.218205420578272e-05, -1.000365766463332]","[0.0010797394396735486, 0.006425819760898899]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-37.972151984291706],60,0.3827466191764211,0.5343452179206173,0.716290903970029,0.0020671857040611983,0.09314419763072344,0.13044292576174601,1.0,20,0.0,0.0,183.05524839999998,cpu,easy,ZDT,Невыпуклый фронт Парето. Полезна для проверки устойчивости scalarization-методов на non-convex PF.,6,2
zdt2,ParEGO,4,40,ParEGO,-15.309754541525027,qLogNEI,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, -1.0]","[0.0, 1.0]","[-5.339547337801509e-05, -1.0005276119135094]","[0.000999194216395117, 0.0055888482295527765]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-38.16630665536744],60,0.3774187847351723,0.5343452179206173,0.7063201317752635,0.0014906848893957456,0.09734715400606078,0.13925349168841464,1.0,18,0.0,0.0,166.3118843999996,cpu,easy,ZDT,Невыпуклый фронт Парето. Полезна для проверки устойчивости scalarization-методов на non-convex PF.,6,2
zdt2,qEHVI,0,40,qEHVI,0.010178400800194375,qEHVI,"[0.0, 0.0, 0.0, 0.5345313566354735, 0.5837205550431956, 1.0]","[-0.0, -4.812853441021605]","[0.0, 4.812853441021605]","[-0.004141303312457517, -4.802257111740295]","[0.012136202935805395, 0.17831251157901923]",60,,,60,0.24188357166612887,0.5343452179206173,0.45267284810259734,0.0013125913378188839,0.09547690605309658,0.052570961581247605,1.0,5,0.0,0.0,351.6266906999999,cpu,easy,ZDT,Невыпуклый фронт Парето. Полезна для проверки устойчивости scalarization-методов на non-convex PF.,6,2
zdt2,qEHVI,1,40,qEHVI,0.010190564577638884,qEHVI,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[-0.0, -4.6]","[0.0, 4.6]","[-0.006969851296634605, -4.448710654175827]","[0.014287212762937295, 0.23830933328242812]",60,,,60,0.16201580056687495,0.5343452179206173,0.3032043614002065,0.0010822888631851788,0.12176660332541099,0.10526615552165768,1.0,4,0.0,0.0,374.22476860000006,cpu,easy,ZDT,Невыпуклый фронт Парето. Полезна для проверки устойчивости scalarization-методов на non-convex PF.,6,2
zdt2,qEHVI,2,40,qEHVI,0.044272883711760566,qEHVI,"[0.7827372734412387, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.7827372734412387, -0.38732236076577553]","[0.7827372734412387, 0.38732236076577553]","[-0.8209511835899299, -0.35807528342046036]","[0.02796685121581644, 0.02616660191621222]",60,,,60,0.24086242429648821,0.5343452179206173,0.45076182254197866,0.0007422246384439317,0.09389545212090301,0.06627417799132593,1.0,5,0.0,0.0,374.3353539999998,cpu,easy,ZDT,Невыпуклый фронт Парето. Полезна для проверки устойчивости scalarization-методов на non-convex PF.,6,2
zdt2,qEHVI,3,40,qEHVI,0.01029453411818956,qEHVI,"[0.0, 0.48425180362924003, 1.0, 0.6769983846905101, 0.0, 0.0]","[-0.0, -4.89025033897555]","[0.0, 4.89025033897555]","[0.00019439060395118335, -4.873805924088106]","[0.007926199615001983, 0.14180408040158066]",60,,,60,0.1609606242845217,0.5343452179206173,0.3012296524536955,0.0007233577278480033,0.12161099364521583,0.10647468428631945,1.0,4,0.0,0.0,371.57132270000056,cpu,easy,ZDT,Невыпуклый фронт Парето. Полезна для проверки устойчивости scalarization-методов на non-convex PF.,6,2
zdt2,qEHVI,4,40,qEHVI,0.010564542653310643,qEHVI,"[0.0, 0.45057147954155347, 0.0, 0.3808590001504486, 1.0, 0.0]","[-0.0, -4.296574863445604]","[0.0, 4.296574863445604]","[-8.487626030448392e-05, -4.243305971966652]","[0.007696544193415639, 0.12561234337625377]",60,,,60,0.24317439875982041,0.5343452179206173,0.4550885656020722,0.0016929635252806905,0.09565030540670173,0.07611389279306317,1.0,5,0.0,0.0,363.3582501000001,cpu,easy,ZDT,Невыпуклый фронт Парето. Полезна для проверки устойчивости scalarization-методов на non-convex PF.,6,2
